Item de Lazer,Tipo Unidade,Público Simplificado,Frequência
3 CHURRASQUEIRAS,2Q (Compacto),Solteiros/Recém-casados,1
ACADEMIA,1-2Q (Compacto),Investidores,1
ACADEMIA,2-3Q (Médio),Famílias,2
ACADEMIA,3-4Q (Grande),Famílias,1
ACADEMIA,3Q (Grande),Famílias,1
ACADEMIA 2 ANDARES COM ESPAÇO FUNCIONAL,2-3Q (Médio),Famílias,1
BICICLETÁRIO,2-3Q (Médio),Famílias,3
BICICLETÁRIO,2Q (Compacto),Solteiros/Recém-casados,1
BICICLETÁRIO,3-4Q (Grande),Famílias,1
BICICLETÁRIO,ST/1Q (Studio/1Q),Investidores,1
BICICLETÁRIO C/OFICINA,2-3Q (Médio),Famílias,1
BICICLETÁRIO/OFICINA,1-2Q (Compacto),Investidores,1
BICICLETÁRIO/OFICINA,3Q (Grande),Famílias,1
BRINQUEDOTECA,1-2Q (Compacto),Investidores,1
BRINQUEDOTECA,2-3Q (Médio),Famílias,2
BRINQUEDOTECA,2Q (Compacto),Solteiros/Recém-casados,1
BRINQUEDOTECA,3-4Q (Grande),Famílias,1
CHURRASQUEIRA,2-3Q (Médio),Famílias,3
CHURRASQUEIRA,3-4Q (Grande),Famílias,1
CHURRASQUEIRA,3Q (Grande),Famílias,1
CHURRASQUEIRA COBERTA,2-3Q (Médio),Famílias,1
CHURRASQUEIRA GRILL,2-3Q (Médio),Famílias,1
CONFERENCE ROOM,2-3Q (Médio),Famílias,2
COWORKING,1-2Q (Compacto),Investidores,1
COWORKING,2-3Q (Médio),Famílias,2
COWORKING,3Q (Grande),Famílias,1
COWORKING,ST/1Q (Studio/1Q),Investidores,1
DELIVERY/GUARDA-COMPRAS,1-2Q (Compacto),Investidores,1
DELIVERY/GUARDA-COMPRAS,2-3Q (Médio),Famílias,3
DELIVERY/GUARDA-COMPRAS,3Q (Grande),Famílias,1
DELIVERY/GUARDA-COMPRAS,ST/1Q (Studio/1Q),Investidores,1
ESPAÇO BEAUTY,2-3Q (Médio),Famílias,1
ESPAÇO BRASA E ESPAÇO GOURMET,2Q (Compacto),Solteiros/Recém-casados,1
ESPAÇO GOURMET,1-2Q (Compacto),Investidores,1
ESPAÇO GOURMET,3-4Q (Grande),Famílias,1
ESPAÇO GOURMET,ST/1Q (Studio/1Q),Investidores,1
ESPAÇO GOURMET EXTERNO,2-3Q (Médio),Famílias,1
ESPAÇO KIDS,3Q (Grande),Famílias,1
ESPAÇO QUARTZO,3Q (Grande),Famílias,1
ESPAÇO TEEN,2-3Q (Médio),Famílias,2
ESPAÇO ZEN,2Q (Compacto),Solteiros/Recém-casados,1
ESPAÇO ZEN,ST/1Q (Studio/1Q),Investidores,1
FAMILY CLUB,2-3Q (Médio),Famílias,1
FITNESS,2-3Q (Médio),Famílias,1
FITNESS,2Q (Compacto),Solteiros/Recém-casados,1
FITNESS OUTDOOR E ACADEMIA INDOOR,ST/1Q (Studio/1Q),Investidores,1
GRAB AND GO,2Q (Compacto),Solteiros/Recém-casados,1
GRILL GOURMET,1-2Q (Compacto),Investidores,1
GUARDA-COMPRAS,2-3Q (Médio),Famílias,1
HOME OFFICE,2Q (Compacto),Solteiros/Recém-casados,1
HORTA/POMAR,2Q (Compacto),Solteiros/Recém-casados,1
JOGOS TEEN,2Q (Compacto),Solteiros/Recém-casados,1
LAVANDERIA  COMPARTILHADA,ST/1Q (Studio/1Q),Investidores,1
LOUNGE (ESPAÇO GOURMET),2-3Q (Médio),Famílias,1
MASSAGEM,2-3Q (Médio),Famílias,1
MINIMERCADO,1-2Q (Compacto),Investidores,1
MINIMERCADO,2-3Q (Médio),Famílias,1
MINIMERCADO,ST/1Q (Studio/1Q),Investidores,1
OFICINA KIDS,2-3Q (Médio),Famílias,1
PARQUINHO,2-3Q (Médio),Famílias,1
PET CARE,2-3Q (Médio),Famílias,2
PET PLACE,ST/1Q (Studio/1Q),Investidores,1
PET PLAY,2-3Q (Médio),Famílias,1
PET PLAY,3Q (Grande),Famílias,1
PISCINA,1-2Q (Compacto),Investidores,1
PISCINA,2-3Q (Médio),Famílias,2
PISCINA,3-4Q (Grande),Famílias,1
PISCINA,3Q (Grande),Famílias,1
PISCINA ,2-3Q (Médio),Famílias,2
PISCINA ,ST/1Q (Studio/1Q),Investidores,1
PISCINA ADULTO E INFANTIL,2Q (Compacto),Solteiros/Recém-casados,1
PLAYGROUND,2-3Q (Médio),Famílias,3
PLAYGROUND,2Q (Compacto),Solteiros/Recém-casados,1
PLAYGROUND,3-4Q (Grande),Famílias,1
PLAYGROUND,3Q (Grande),Famílias,1
PLAYGROUND,ST/1Q (Studio/1Q),Investidores,1
PLAYZONE,3Q (Grande),Famílias,1
PUB,2-3Q (Médio),Famílias,3
PUB,3Q (Grande),Famílias,1
QUADRA,2-3Q (Médio),Famílias,1
QUADRA DE STREETBALL,2-3Q (Médio),Famílias,1
QUADRA ESPORTIVA E STREETBALL,2Q (Compacto),Solteiros/Recém-casados,1
QUADRA GRANDE,2-3Q (Médio),Famílias,1
QUADRA INDOOR,3Q (Grande),Famílias,1
QUADRA RECREATIVA,2-3Q (Médio),Famílias,1
REPOUSO,1-2Q (Compacto),Investidores,1
SALA DE JOGOS,2-3Q (Médio),Famílias,1
SALA DE REUNIÕES,1-2Q (Compacto),Investidores,1
SALA DE REUNIÕES,3Q (Grande),Famílias,1
SALÃO DE FESTAS,1-2Q (Compacto),Investidores,1
SALÃO DE FESTAS,2-3Q (Médio),Famílias,4
SALÃO DE FESTAS,3-4Q (Grande),Famílias,1
SALÃO DE FESTAS,3Q (Grande),Famílias,1
SALÃO DE FESTAS ADULTO E INFANTIL,2Q (Compacto),Solteiros/Recém-casados,1
SALÃO DE JOGOS,1-2Q (Compacto),Investidores,1
SAUNA,1-2Q (Compacto),Investidores,1
SAUNA,2-3Q (Médio),Famílias,1
SAUNA,2Q (Compacto),Solteiros/Recém-casados,1
SAUNA,3-4Q (Grande),Famílias,1
SPA,2-3Q (Médio),Famílias,1
SPA,2Q (Compacto),Solteiros/Recém-casados,1
